50
25
Minnie John Scott Holly Suzanne Timothy Emma Roberta Melvin Rita Sarah Gerald Joseph Paula Glen Harold Brian Robert Brittany Robert Rhonda Jose Brandy Marie John Jerry Gene Janet Diane David Floyd Jared Robert Shannan George Todd Kelly Darren Jerry Gregory Norma Charles Margaret David Jack Angelina John Rodney John Jan
John Scott Holly Suzanne Emma Roberta Melvin Sarah Gerald Paula Robert Brittany Rhonda Jose Brandy Marie Jerry Gene Janet David Floyd Robert Kelly Darren Gregory
x 16.0 16.0 16.0 16.0 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
16.0 x x x x x 16.0 x x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x 16.0 x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x 16.0 x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x 16.0 x x x x 16.0 x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x 16.0 x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x 16.0 x x x 16.0 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x 16.0 x x 16.0 x x x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x 16.0 x 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x 16.0 x 16.0 16.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
