0 2 5 11 24 49 24 50 24 11 5 12 25 51 25 52 25 12 26 53 26 54 26 12 5 2 6 13 27 55 27 56 27 13 28 57 28 58 28 13 6 14 29 59 29 60 29 14 30 61 30 62 30 14 6 2 0 1 3 7 15 31 63 31 64 31 15 32 65 32 66 32 15 7 16 33 67 33 68 33 16 34 69 34 70 34 16 7 3 8 17 35 71 35 72 35 17 36 73 36 74 36 17 8 18 37 75 37 76 37 18 38 77 38 78 38 18 8 3 1 4 9 19 39 79 39 80 39 19 40 81 40 82 40 19 9 20 41 83 41 84 41 20 42 85 42 86 42 20 9 4 10 21 43 87 43 88 43 21 44 89 44 90 44 21 10 22 45 91 45 92 45 22 46 93 46 94 46 22 10 4 1 0 2 5 11 23 47 95 47 96 47 23 48 97 48 98 48 23 11 24 49 99 49 24 11 5 2 0
51
49 100 
50 102 101 
51 103 104 
52 106 105 
53 108 107 
54 110 109 
55 112 111 
56 113 114 
57 115 116 
58 117 118 
59 120 119 
60 121 122 
61 123 124 
62 126 125 
63 128 127 
64 130 129 
65 131 132 
66 134 133 
67 135 136 
68 137 138 
69 139 140 
70 142 141 
71 144 143 
72 145 146 
73 148 147 
74 150 149 
75 151 152 
76 153 154 
77 155 156 
78 157 158 
79 160 159 
80 161 162 
81 163 164 
82 166 165 
83 168 167 
84 170 169 
85 172 171 
86 173 174 
87 176 175 
88 178 177 
89 180 179 
90 182 181 
91 184 183 
92 186 185 
93 188 187 
94 189 190 
95 192 191 
96 194 193 
97 196 195 
98 198 197 
99 199 
