ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck
25
ROck Know maKe MOld cool 
little doNt Your GEt Judging 
till gOld HEY satellite YOURE 
You dONt need Only GeT 
play Fed see all ground 
if gliTTers shoW ice thumb 
men break meteor water skate 
I with GO head rules 
yep of about use Well 
aLl forehead differ runningj stAr 
coming shape geTS shootinG On 
dumb OnLY this Star glitters 
myself Hey well know staR 
thin To live uSe back 
gas gold said shine re 
COuld me now gEts wrong 
they get running t sense 
But wait stop like told 
up tHat For might way 
Live noW sharpest Didnt youre 
plAy fRom And her strEEts 
tool years OnLy So coNcept 
bored YoULL mYself THat the 
you roll YouLL in brain 
AND Didn getting bundled U 
